No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
282,   0,   1,   3,  16,  220,   317,   781,  11846,   11642,    17755,  61892,  173074,   277547
281,   0,   0,   1,  28,  438,   661,  1309,  14748,   15955,    24089,  77056,  194663,   328948
280,   0,   1,   4,  31,  346,   534,  1213,  15268,   16570,    21347,  83915,  207678,   346907
279,   1,   1,   2,  26,  314,   445,  1180,  15331,   18375,    22687, 100057,  239224,   397643
278,   0,   1,   2,  25,  347,   488,  1253,  15367,   17455,    21630,  92174,  222158,   370900
277,   0,   1,   1,  24,  237,   375,   794,  11758,   12317,    18519,  67137,  179193,   290356
276,   0,   1,   1,  17,  219,   342,   785,  11044,   12035,    18192,  65871,  167434,   275941
275,   0,   2,   2,  14,  298,   431,   922,  13520,   14024,    20341,  75194,  196730,   321478
274,   0,   1,   6,  68, 1070,  1653,  2982,  47631,   41769,    73877, 219947,  685146,  1074150
273,   0,   5,   8,  69,  835,  1196,  2944,  35760,   39763,    49802, 202706,  498499,   831587
272,   0,   3,   1,  29,  508,   810,  1725,  23581,   25437,    35554, 133846,  334234,   555728
271,   0,   1,   3,  28,  460,   850,  1358,  20085,   18762,    31914,  95124,  277704,   446289
270,   0,   1,   5,  19,  287,   472,   974,  13879,   14472,    21024,  78483,  209156,   338772
269,   0,   0,   1,  15,  239,   372,   811,  11027,   12060,    18014,  66247,  162457,   271243
268,   0,   0,   2,  13,  233,   353,   720,  10515,   10124,    15268,  54935,  158432,   250595
267,   0,   0,   2,  23,  341,   464,  1127,  13423,   15081,    20711,  75611,  188542,   315325
266,   0,   1,   6,  15,  336,   626,   874,  13987,   12397,    21703,  64349,  189850,   304144
265,   0,   4,   5,  58,  896,  1334,  2705,  40029,   37720,    58504, 196379,  573357,   910991
264,   0,   2,   2,  19,  326,   550,   978,  14726,   14846,    22933,  78373,  219350,   352105
263,   0,   0,   1,  26,  269,   424,   876,  12593,   11810,    19708,  61172,  189526,   296405
262,   0,   0,   0,   9,  229,   371,   633,  10277,    9165,    15697,  50420,  148572,   235373
261,   0,   9,  11,  68,  938,  1365,  1087,  12990,   13509,    17932,  69729,  167480,   285118
260,   0,   0,   2,  23,  308,   443,  1119,  13340,   15150,    19423,  81111,  191418,   322337
259,   0,   1,   0,  16,  183,   274,   680,   8970,   10632,    13465,  63413,  137224,   234858
258,   0,   1,   1,  21,  279,   383,   917,  12098,   12720,    18158,  68554,  177546,   290678
257,   0,   1,   2,  33,  469,   767,  1343,  20988,   19140,    33961,  98645,  296199,   471548
256,   0,   2,   0,  17,  224,   382,   743,  11081,   12030,    16967,  68757,  169235,   279438
