No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
1611,   0,   0,   3,     7,  135,    323,     290,   4277,     6089,     13624,     22900,    85714,    197798,   331160
1610,   0,   1,   3,    15,  294,    497,     585,   7743,    11687,     25359,     42100,   167578,    370796,   626658
1609,   0,   0,   2,     9,  142,    437,     292,   6346,     7402,     16155,     37953,   115458,    246870,   431066
1608,   0,   1,   2,    10,  232,    510,     559,   7512,    10838,     25228,     39150,   153744,    358568,   596354
1607,   0,   1,   0,     7,  171,    264,     296,   4466,     6713,     14292,     24843,   101686,    214041,   366780
1606,   0,   0,   7,    24,  277,    620,     580,   8654,    10563,     21925,     44504,   147529,    305565,   540248
1605,   0,   1,   0,     7,  112,    293,     278,   5186,     6067,     12803,     29210,    93466,    198920,   346343
1604,   0,   1,   8,    20,  418,    975,    1071,  14434,    19304,     44198,     73300,   273757,    621322,  1048808
1603,   0,   0,   0,    13,  222,    761,     418,  10176,    10130,     19455,     46775,   138643,    270968,   497561
1602,   0,   1,   2,     7,  223,    456,     642,   6174,     9887,     29557,     30981,   135645,    389361,   602936
1601,   0,   1,   2,     9,  131,    354,     288,   5375,     6498,     13713,     28053,    95342,    202333,   352099
1600,   0,   1,   1,    12,  187,    517,     368,   7082,     8707,     18918,     36312,   126281,    280176,   478562
1599,   0,   1,   0,     6,  108,    301,     282,   4518,     5633,     12245,     24122,    82525,    183925,   313666
1598,   0,   0,   2,    17,  243,    606,     608,   7864,    11156,     26467,     40148,   154711,    364223,   606045
1597,   0,   0,   2,     8,  140,    352,     334,   5369,     6491,     15232,     28613,   104122,    235403,   396066
1596,   0,   0,   0,     3,  187,    383,     384,   5479,     7555,     18116,     28599,   116027,    276624,   453357
1595,   0,   1,   3,     5,  130,    255,     252,   4425,     5795,     13024,     24888,    91159,    203949,   343886
1594,   0,   1,   1,    13,  144,    409,     387,   5812,     8135,     18606,     32985,   121543,    282734,   470770
1593,   0,   0,   0,    11,  136,    372,     275,   5242,     6887,     14083,     29323,    99528,    202872,   358729
1592,   0,   1,   1,    13,  258,    535,     566,   7601,    11598,     25877,     37919,   159106,    355956,   599431
1591,   0,   3,   1,     9,  279,    546,     591,   6673,    10576,     22313,     31228,   137709,    279004,   488932
1590,   0,   1,   0,    10,  214,    550,     456,   8275,     9289,     19377,     42389,   137527,    283003,   501091
1589,   0,   2,   5,     5,  212,    269,     683,   3916,     7480,     21574,     19649,    93436,    252475,   399706
1588,   0,   1,   3,    11,  145,    388,     394,   5642,     7857,     17851,     31768,   118835,    267124,   450019
1587,   0,   4,   0,    15,  274,    486,     683,   7447,    11930,     29613,     37969,   167272,    417630,   673323
1586,   0,   1,   1,    25,  346,    728,     830,  10922,    15360,     35265,     57325,   221490,    509770,   852063
1585,   0,   1,   0,     8,  177,    341,     409,   4759,     7341,     17793,     25724,   109280,    267171,   433004
1584,   0,   2,   3,    10,  243,    575,     511,   7842,    10138,     22844,     42609,   149637,    333214,   567628
1583,   0,   0,   0,     3,  142,    328,     320,   5660,     7175,     15839,     30804,   110580,    243746,   414597
1582,   0,   1,   3,    11,  201,    426,     489,   6309,     9062,     22401,     33587,   134426,    331822,   538738
1581,   0,   2,   0,     6,  141,    281,     412,   3981,     6337,     18476,     21185,    89797,    251800,   392418
1580,   0,   1,   2,    12,  225,    454,     456,   6820,     9935,     23080,     33961,   139753,    328283,   542982
1579,   0,   1,   1,     5,  132,    234,     331,   4036,     5706,     13276,     23034,    88362,    206520,   341638
1578,   0,   1,   4,    19,  399,    837,     849,  12545,    18552,     39232,     68954,   280600,    591303,  1013295
1577,   0,   1,   2,     7,  212,    499,     487,   7754,    10270,     24854,     41177,   152654,    365365,   603282
1576,   0,   0,   7,    21,  695,    615,    2014,   9027,    14108,     36837,     46883,   195877,    489291,   795375
1575,   0,   1,   1,     9,  203,    449,     505,   6673,     9032,     22241,     35690,   133968,    326156,   534928
1574,   0,   1,   3,    11,  249,    483,     561,   7225,    10265,     24845,     39605,   152632,    369470,   605350
1573,   0,   1,   2,    12,  174,    383,     356,   5499,     7767,     18181,     29338,   116988,    277114,   455815
1572,   0,   0,   1,    12,  190,    633,     437,   9654,     9905,     20955,     56330,   155013,    324664,   577794
1571,   0,   0,   5,     6,  177,    322,     398,   4922,     7370,     17374,     27185,   104897,    243263,   405919
1570,   0,   0,   3,     3,  202,    352,     408,   5761,     7785,     19231,     31705,   118220,    310277,   493947
1569,   0,   0,   1,     7,  133,    262,     349,   4328,     6242,     14923,     23221,    93540,    221353,   364359
1568,   0,   1,   2,    13,  236,    424,     673,   6250,    10312,     25964,     31381,   138652,    338023,   551931
1567,   0,   1,   0,    10,  144,    257,     252,   4129,     5900,     13614,     22312,    89012,    198777,   334408
1566,   1,   3,   1,    30,  346,    862,     756,  12926,    15508,     33630,     70650,   232436,    500944,   868093
1565,   0,   2,   3,     7,  293,    609,     752,   7943,    12447,     28873,     39955,   168371,    397625,   656880
1564,   0,   2,   4,     7,  325,    621,     693,   9495,    14810,     30660,     52611,   208647,    435556,   753431
1563,   0,   1,   0,     8,  197,    474,     523,   6678,     9950,     24237,     35818,   145348,    361537,   584771
1562,   0,   2,   2,    24,  390,   1003,     886,  15096,    16415,     35214,     71243,   230808,    488332,   859415
1561,   0,   1,   0,    11,  234,    373,     404,   5108,     8358,     16766,     25439,   108880,    220255,   385829
1560,   1,   1,   7,    11,  317,    651,     780,   9567,    15050,     34624,     49760,   210916,    492904,   814589
1559,   0,   2,   3,     6,  345,    567,     655,   7182,    12204,     25702,     33515,   148924,    329673,   558778
1558,   0,   1,   1,     9,  216,    460,     624,   6473,    10503,     27121,     34755,   152731,    395301,   628195
1557,   0,   0,   3,     7,  188,    355,     383,   5469,     8622,     18313,     29738,   126681,    261847,   451606
1556,   0,   4,   1,    14,  241,    628,     580,   9038,    12414,     25862,     43918,   165821,    359960,   618481
1555,   0,   0,   1,     5,  197,    409,     380,   5301,     7926,     16310,     27680,   117329,    240450,   415988
1554,   0,   0,   1,     8,  201,    413,     471,   6425,     8838,     20879,     34346,   128095,    307688,   507365
1553,   0,   0,   2,     5,  151,    385,     381,   5243,     7944,     17261,     26313,   111657,    247875,   417217
1552,   0,   0,   1,    13,  177,    382,     396,   5430,     8317,     19505,     29221,   121707,    289093,   474242
1551,   0,   1,   0,     5,  127,    345,     322,   4368,     6883,     14646,     22898,    94120,    212543,   356258
1550,   0,   0,   3,    14,  194,    608,     407,   8439,     9675,     19846,     44672,   137755,    288771,   510384
1549,   0,   3,   1,     8,  252,    481,     651,   6005,     9731,     22571,     27038,   119463,    278072,   464276
1548,   0,   0,   3,    15,  313,    700,     642,  10360,    13512,     29797,     52887,   198660,    441654,   748543
1547,   1,   0,   4,    24,  431,    936,     982,  13068,    19323,     45809,     68763,   276629,    664092,  1090062
1546,   0,   5,   4,    34,  545,   1142,    1266,  16777,    24379,     55126,     86633,   344459,    777180,  1307550
1545,   0,   3,   4,    20,  432,    943,     904,  13618,    19023,     44351,     72249,   284951,    651891,  1088389
1544,   0,   2,   4,    34,  427,   1230,    1054,  18684,    21829,     47540,    107323,   329814,    711632,  1239573
1543,   0,   4,   2,    22,  413,    954,     925,  14408,    18692,     40384,     75687,   271065,    589920,  1012476
1542,   0,   1,   5,    31,  441,    862,    1001,  12107,    18109,     41959,     63294,   252183,    586851,   976844
1541,   0,   1,   0,    10,  257,    537,     553,   8570,    10934,     24685,     48975,   165727,    375791,   636040
1540,   0,   1,   3,    14,  331,    689,     744,   9590,    14946,     35868,     49252,   213449,    515277,   840164
1539,   0,   0,   1,    10,  255,    511,     600,   7339,    10847,     25322,     39367,   158684,    370415,   613351
1538,   0,   0,   9,    17,  342,    822,     726,  12843,    16778,     36352,     66709,   243606,    532504,   910708
1537,   0,   2,   1,     4,  133,    316,     261,   4374,     5670,     12876,     23484,    85844,    190324,   323289
1536,   1,   0,   2,     7,  211,    423,     566,   5705,     8947,     21003,     30190,   128448,    306899,   502402
1535,   0,   1,   4,     9,  274,    549,     475,   6532,     8811,     18264,     30146,   115311,    248275,   428651
1534,   0,   1,   0,     4,  157,    413,     409,   5623,     8417,     18924,     30681,   124374,    281794,   470797
1533,   0,   1,   0,    12,  164,    380,     288,   6199,     7002,     13799,     30787,   102373,    204770,   365775
1532,   0,   2,   1,    13,  185,    410,     378,   6709,     8532,     17038,     35718,   124075,    254106,   447167
1531,   0,   0,   2,    11,  153,    347,     381,   4943,     7154,     16711,     26272,   102503,    244129,   402606
1530,   0,   1,   2,     8,  169,    430,     345,   7264,     8522,     18492,     40060,   130585,    276326,   482204
1529,   0,   0,   0,     4,  104,    286,     244,   4033,     5569,     12154,     22128,    84200,    185374,   314096
1528,   0,   0,   2,    16,  179,    512,     411,   7196,     8610,     19219,     36556,   123904,    272490,   469095
1527,   1,   0,   2,    18,  461,   1108,     928,  16450,    18678,     40908,     87754,   269659,    583417,  1019384
1526,   0,   2,   8,    39,  505,   1064,     992,  14013,    20272,     44543,     70713,   270187,    599315,  1021653
1525,   0,   0,   0,    14,  245,    590,     511,   9533,    11174,     23906,     51782,   169859,    365174,   632788
1524,   0,   0,   3,    17,  319,   1004,     783,  16425,    16046,     34322,     88023,   244837,    512581,   914360
1523,   0,   0,   1,    13,  247,    476,     458,   7123,    10303,     23525,     38204,   153133,    349809,   583292
1522,   0,   1,   5,    17,  298,    641,     684,   9368,    12728,     29532,     49073,   188530,    433388,   724265
1521,   0,   2,   3,    10,  201,    458,     525,   5796,     8721,     21425,     29429,   118004,    291611,   476185
1520,   0,   1,   2,     6,  233,    545,     513,   7578,    10952,     23237,     40036,   158936,    336322,   578361
1519,   0,   0,   2,     8,  149,    322,     314,   4933,     6824,     15888,     26884,   102761,    243181,   401266
1518,   0,   0,   0,     6,  171,    429,     399,   6396,     8166,     18683,     36501,   132183,    297176,   500110
1517,   0,   1,   1,     8,  178,    367,     418,   5229,     7844,     17219,     26675,   111471,    238549,   407960
1516,   0,   1,   5,    10,  209,    447,     515,   6452,     9630,     22640,     32938,   136035,    319974,   528856
1515,   0,   2,   2,     3,  126,    215,     304,   3994,     5698,     13170,     22024,    85204,    199019,   329761
1514,   0,   0,   1,    10,  309,    498,     778,   6844,    12035,     30001,     34839,   160054,    389330,   634699
1513,   0,   1,   4,     7,  162,    305,     380,   3881,     6333,     15341,     19147,    85750,    203106,   334417
1512,   0,   0,   1,    10,  164,    377,     495,   5291,     8617,     22111,     28160,   123494,    314837,   503557
1511,   0,   0,   2,    17,  236,    603,     458,   6589,     8490,     17799,     30333,   107411,    229150,   401088
1510,   0,   0,   1,    13,  191,    578,     478,   7903,     9925,     21228,     37795,   139849,    301897,   519858
1509,   0,   0,   1,     4,  198,    395,     402,   5307,     7659,     16389,     25930,    99046,    208382,   363713
1508,   0,   1,   0,    10,  162,    382,     364,   5803,     8036,     19740,     31322,   120389,    310373,   496582
1507,   0,   1,   2,    10,  165,    410,     341,   5865,     7541,     15559,     31235,   109094,    224303,   394526
1506,   0,   0,   2,     8,  230,    469,     562,   6875,    10434,     23636,     34205,   142409,    321314,   540144
1505,   0,   2,   0,    22,  215,    622,     399,   7788,     8202,     16825,     37639,   110596,    223044,   405354
1504,   0,   0,   2,    10,  130,    369,     348,   5145,     6857,     16187,     28315,   101851,    240580,   399794
1503,   0,   0,   3,     8,  126,    289,     414,   3713,     5614,     14435,     18327,    79833,    198347,   321109
1502,   0,   1,   1,     8,  196,    428,     389,   6485,     8273,     17948,     35463,   123214,    268798,   461204
1501,   0,   2,   0,     7,  118,    236,     260,   3418,     4975,     11155,     20509,    76071,    171203,   287954
1500,   1,   5,   4,    16,  353,    968,     786,  14829,    16084,     34505,     84059,   238971,    500226,   890807
1499,   0,   1,   0,     6,  152,    396,     301,   5534,     6548,     14342,     31517,   100111,    219973,   378881
1498,   0,   1,   1,     8,  233,    386,     487,   5565,     9478,     20713,     29073,   133996,    304500,   504441
1497,   0,   1,   1,    10,  136,    330,     311,   4634,     6436,     13638,     25254,    94770,    199047,   344568
1496,   0,   2,   5,    15,  305,    643,     738,  10034,    14202,     32878,     54760,   217388,    496584,   827554
1495,   0,   4,   2,    25,  285,    665,     668,   7521,    11429,     24029,     34565,   136474,    284979,   500646
1494,   0,   5,   2,     8,  227,    430,     585,   5900,     9806,     24232,     30197,   137620,    335269,   544281
1493,   0,   1,   2,    10,  151,    287,     384,   4103,     6927,     16629,     20961,    94137,    229533,   373125
1492,   0,   1,   1,    13,  181,    388,     366,   6053,     7483,     16776,     34321,   113590,    250097,   429270
1491,   0,   0,   0,     3,  100,    231,     205,   3516,     4799,     11058,     19419,    73555,    172335,   285221
1490,   0,   2,   6,    30,  555,    866,    1340,  11666,    16949,     35854,     61376,   243784,    509582,   882010
1489,   0,   1,   7,     5,  212,    370,     533,   5071,     8800,     22403,     25172,   119179,    293910,   475663
1488,   0,   1,   3,    11,  232,    534,     490,   8459,    10586,     24880,     46783,   165572,    382019,   639570
1487,   0,   3,   3,    11,  200,    382,     455,   5057,     8846,     17185,     26631,   119375,    236429,   414577
1486,   0,   0,   1,     9,  214,    493,     401,   7711,     8708,     17900,     42555,   131272,    269861,   479125
1485,   0,   1,   3,    10,  135,    286,     289,   4867,     6111,     13314,     27561,    91414,    196082,   340073
1484,   0,   1,   0,    13,  221,    480,     492,   6931,     8520,     19106,     36445,   119632,    266980,   458821
1483,   0,   1,   1,    11,  219,    510,     460,   7895,    10059,     22356,     43997,   152707,    331689,   569905
1482,   0,   2,   3,    13,  270,    569,     596,   8777,    13188,     30071,     45671,   201562,    461147,   761869
1481,   0,   0,   1,     8,  135,    274,     270,   3965,     5555,     12422,     21762,    85687,    194346,   324425
1480,   0,   3,   2,    12,  277,    600,     563,  11126,    12281,     27481,     69005,   193243,    417478,   732071
1479,   0,   1,   2,    16,  247,    568,     565,   7621,    10939,     23832,     40866,   155238,    344255,   584150
1478,   0,   0,   1,    19,  256,    648,     702,   9814,    12619,     28222,     54212,   183133,    409520,   699146
1477,   0,   3,   4,     7,  266,    527,     513,   7198,    11481,     22390,     37203,   160557,    316451,   556600
1476,   0,   0,   3,     7,  214,    533,     508,   8987,    10503,     23049,     49056,   158820,    348811,   600491
1475,   0,   0,   0,     8,  164,    327,     396,   5591,     8277,     20486,     30112,   117101,    285731,   468193
1474,   0,   1,   5,    12,  242,    482,     613,   6652,    10675,     25127,     34357,   145453,    339547,   563166
1473,   0,   1,   1,     8,  168,    345,     391,   5104,     7719,     17497,     26525,   111817,    254074,   423650
1472,   0,   2,   1,    12,  242,    526,     493,   8032,    10100,     20988,     44462,   145455,    304996,   535309
1471,   0,   1,   1,     3,  145,    274,     306,   4090,     6451,     14289,     21319,    94823,    214019,   355721
1470,   0,   0,   3,    12,  197,    398,     550,   5644,     8750,     22945,     28139,   124695,    310603,   501936
1469,   0,   2,   1,     5,  128,    224,     264,   3628,     5206,     12159,     21727,    80169,    187234,   310747
1468,   0,   4,   6,    30,  586,   1493,    1286,  22289,    28620,     63363,    121206,   429289,    939779,  1607951
1467,   0,   4,   9,    27,  520,   1078,    1222,  16048,    24202,     56983,     86271,   351013,    831860,  1369237
1466,   0,   4,   6,    15,  422,   1022,     854,  14849,    18969,     39839,     81725,   283585,    599928,  1041218
1465,   0,   1,   1,    12,  266,    666,     555,  10401,    13085,     26083,     54897,   196202,    399254,   701423
1464,   0,   2,   5,    13,  331,    616,     788,   9313,    14587,     35707,     49446,   210166,    514976,   835950
1463,   0,   0,   0,    10,  232,    517,     560,   8595,    11526,     26042,     44026,   170417,    377248,   639173
1462,   0,   1,   3,    17,  317,    729,     913,  10532,    15589,     41131,     53777,   221143,    589641,   933793
1461,   0,   1,   1,     7,  139,    370,     340,   5546,     6947,     15653,     30224,   100723,    224019,   383970
1460,   0,   0,   5,    12,  196,    524,     484,   6949,     9748,     22300,     34013,   135248,    310783,   520262
1459,   0,   0,   0,     5,  114,    310,     285,   4707,     5339,     12004,     25684,    81511,    179701,   309660
1458,   0,   1,   2,    25,  220,    604,     542,   7814,     9803,     21647,     36067,   127205,    281158,   485088
1457,   0,   0,   2,     3,  138,    330,     277,   5234,     6256,     12269,     26358,    92691,    180246,   323804
1456,   0,   1,   2,    13,  221,    811,     430,  10366,    10230,     19216,     46722,   136057,    262774,   486843
1455,   1,   1,   1,     6,  159,    330,     379,   4594,     6817,     16740,     24143,    98103,    234960,   386234
1454,   0,   0,   2,    10,  153,    355,     410,   5547,     7836,     18654,     29251,   119899,    289105,   471222
1453,   0,   1,   0,     3,  139,    286,     289,   4199,     7038,     13927,     23488,    88527,    202371,   340268
1452,   0,   2,   3,    12,  306,    494,     723,   6774,    11858,     26720,     31466,   147981,    334874,   561213
1451,   0,   0,   1,     9,  127,    292,     286,   4182,     5497,     11461,     23710,    80982,    174760,   301307
1450,   0,   2,   3,    19,  310,    655,     697,   9824,    14557,     33978,     53125,   216435,    517236,   846841
1449,   0,   0,   1,     8,  180,    426,     361,   6579,     7635,     16900,     38274,   117069,    250851,   438284
1448,   0,   3,   3,    13,  305,    513,     806,   7148,    12686,     31236,     36389,   162337,    395168,   646607
1447,   0,   1,   4,     9,  173,    427,     357,   6425,     7980,     17199,     32682,   117918,    255617,   438792
1446,   0,   0,   3,    14,  225,    517,     515,   7198,     9573,     21849,     38076,   137860,    318704,   534534
1445,   0,   0,   5,    14,  195,    337,     719,   4191,     7473,     25218,     21033,    95794,    294029,   449008
1444,   0,   0,   3,     9,  154,    394,     323,   6275,     7852,     16911,     34890,   126555,    267463,   460829
1443,   0,   1,   2,     8,  133,    377,     303,   5400,     6185,     13574,     27536,    91753,    199334,   344606
1442,   0,   0,   1,     7,  162,    350,     346,   5397,     6947,     15705,     29574,   106784,    237577,   402850
1441,   0,   0,   3,    23,  279,    464,     562,   5144,     9189,     18608,     23555,   113240,    221420,   392487
1440,   0,   0,   1,     9,  144,    402,     351,   5429,     7193,     16771,     29539,   110355,    252033,   422227
1439,   0,   0,   2,     4,  156,    323,     316,   4161,     6539,     15082,     21087,    90121,    208056,   345847
1438,   0,   1,   4,    12,  285,    687,     661,   9801,    14037,     31239,     51545,   202087,    450892,   761251
1437,   0,   2,   1,    12,  228,    427,     453,   5640,     8849,     17553,     27564,   115850,    238159,   414738
1436,   0,   0,   3,     5,  160,    371,     371,   5816,     7778,     18069,     31888,   121359,    287339,   473159
1435,   0,   0,   1,     3,  140,    349,     335,   5814,     6566,     14578,     30461,    98910,    211921,   369078
1434,   0,   2,   2,    14,  265,    603,     531,   8024,    10875,     21663,     39500,   146891,    292248,   520618
1433,   0,   1,   3,    10,  190,    329,     364,   4385,     7901,     15677,     22026,   103898,    204032,   358816
1432,   0,   2,   4,    25,  269,    605,     493,   7361,    10439,     22331,     35747,   136965,    295658,   509899
1431,   0,   1,   0,     9,  172,    331,     316,   4823,     6448,     12673,     25060,    92936,    184007,   326776
1430,   1,   0,   1,    16,  294,    655,     658,  10809,    14183,     31432,     60336,   221072,    477672,   817129
1429,   0,   2,   5,     2,  180,    406,     374,   5662,     8195,     16820,     30077,   115933,    240704,   418360
1428,   0,   1,   2,     6,  181,    444,     555,   6199,     9329,     25375,     34252,   138456,    374209,   589009
1427,   0,   0,   1,     5,  149,    389,     330,   6182,     7555,     16517,     33481,   110344,    244298,   419251
1426,   0,   1,   1,    11,  205,    451,     476,   6823,     9872,     22965,     35893,   142791,    329756,   549245
1425,   0,   0,   1,     4,  131,    279,     291,   4042,     5961,     13771,     21823,    89402,    215077,   350782
1424,   0,   0,   4,    10,  217,    454,     485,   6487,     9440,     21750,     31916,   132586,    302754,   506103
1423,   0,   0,   1,     6,  110,    250,     268,   3960,     5690,     12168,     22332,    82193,    175137,   302115
1422,   0,   1,   1,    13,  259,    449,     545,   6505,    10614,     22303,     35599,   151671,    320301,   548261
1421,   0,   2,   2,     9,  174,    343,     439,   5328,     7687,     18035,     27017,   107176,    245320,   411532
1420,   0,   1,   5,    21,  285,    640,     630,   9436,    12914,     29977,     50038,   188104,    432480,   724531
1419,   0,   0,   0,     2,  114,    271,     317,   3890,     5809,     14646,     20740,    85603,    220267,   351659
1418,   0,   2,   2,    14,  243,    576,     571,   8182,    10314,     23003,     39025,   135778,    298799,   516509
1417,   1,   2,   2,    11,  172,    311,     428,   4402,     6978,     17244,     23314,    99503,    249490,   401858
1416,   0,   1,   0,    15,  216,    551,     424,   8145,     9563,     20487,     44935,   142117,    303948,   530402
1415,   0,   0,   3,     5,  163,    308,     299,   5081,     6350,     14296,     28657,    92458,    206905,   354525
1414,   0,   0,   4,     6,  167,    379,     444,   5894,     8732,     19135,     31374,   125355,    280329,   471819
1413,   0,   0,   0,     9,  103,    239,     257,   3796,     5113,     11034,     21634,    83109,    171139,   296433
1412,   1,   0,   1,    15,  286,    739,     636,  10482,    13219,     28976,     59791,   200029,    432359,   746534
1411,   0,   2,   3,     9,  213,    601,     435,   9001,    10194,     22681,     48740,   159054,    344031,   594964
1410,   0,   2,   7,    14,  267,    648,     582,  10430,    12253,     26993,     59822,   185298,    402652,   698968
1409,   0,   1,   3,     7,  165,    438,     342,   7149,     8398,     17826,     40535,   128202,    270201,   473267
1408,   0,   1,   2,     4,  230,    470,     521,   6773,     9684,     24094,     36641,   147436,    374367,   600223
1407,   0,   2,   2,    11,  179,    424,     394,   6139,     8089,     17968,     35107,   119411,    263984,   451710
1406,   0,   2,   4,    16,  288,    467,     781,   6845,    11507,     32220,     34471,   156391,    419031,   662023
1405,   0,   2,   0,    13,  132,    264,     370,   4131,     6425,     16585,     21557,    94797,    248236,   392512
1404,   0,   0,   1,     5,  201,    410,     381,   6258,     8169,     18692,     34804,   129826,    293958,   492705
1403,   0,   1,   2,     8,  179,    386,     381,   5412,     8028,     16568,     27839,   114436,    235141,   408381
1402,   0,   3,   4,    26,  511,   1044,    1172,  14547,    22264,     50960,     76065,   311527,    712017,  1190140
1401,   0,   3,   2,    20,  493,    808,    1183,  12149,    19592,     44251,     65311,   262620,    593745,  1000177
1400,   0,   4,   4,    10,  404,    872,     952,  12441,    19493,     44215,     65753,   276178,    636230,  1056556
1399,   0,   3,   6,    22,  441,    763,     902,  10620,    17520,     36218,     53623,   230494,    478313,   828925
1398,   0,   1,   3,    16,  306,    657,     760,   9901,    15141,     36396,     52136,   222491,    545647,   883455
1397,   0,   0,   1,    11,  319,    515,     677,   7432,    13140,     29277,     37715,   181649,    413009,   683745
1396,   0,   3,   6,    18,  336,    865,     807,  13229,    16672,     36929,     69963,   248317,    550027,   937172
1395,   0,   0,   1,     9,  149,    283,     348,   3812,     6206,     14744,     20881,    88779,    212452,   347664
1394,   0,   0,   0,     6,  169,    439,     460,   6341,     8861,     20716,     33785,   129769,    300198,   500744
1393,   0,   0,   0,     4,  150,    387,     318,   5277,     6417,     14234,     27305,    90218,    199569,   343879
1392,   0,   1,   1,     7,  198,    479,     474,   7543,    10483,     22350,     41195,   158424,    333143,   574298
1391,   0,   1,   2,     8,  131,    397,     335,   5543,     7511,     15845,     29198,   113811,    240006,   412788
1390,   0,   1,   0,    19,  241,    537,     598,   7635,    10685,     23817,     39120,   149559,    335319,   567531
1389,   0,   0,   2,     8,  184,    394,     414,   5376,     6498,     14528,     30008,    98096,    216263,   371771
1388,   0,   3,   1,    13,  227,    432,     446,   6838,     9140,     19759,     36126,   128871,    276228,   478084
1387,   0,   1,   0,     2,  102,    231,     229,   3518,     5230,     12032,     20604,    78206,    178899,   299054
1386,   1,   3,   5,    15,  472,    799,    1120,  11447,    16872,     40276,     61066,   233930,    541885,   907891
1385,   0,   0,   1,    10,  136,    322,     273,   5531,     6488,     13888,     32024,    97349,    211876,   367898
1384,   0,   0,   2,    18,  270,    674,     569,   8844,    11980,     23777,     44077,   162594,    330627,   583432
1383,   0,   1,   0,     5,  166,    341,     363,   5049,     6915,     16103,     28105,   104847,    241313,   403208
1382,   0,   0,   3,    23,  324,    589,     601,   7244,    13380,     25226,     34998,   166564,    324955,   573907
1381,   0,   5,   2,     5,  158,    269,     416,   4257,     7196,     16110,     21537,    96987,    221680,   368622
1380,   0,   5,   3,    30,  592,   1152,    1460,  15365,    23922,     56273,     78058,   323936,    752019,  1252815
1379,   0,   0,   3,    21,  376,    780,     851,  11401,    16788,     39898,     60259,   244230,    581779,   956386
1378,   0,   0,   6,    17,  378,    830,     997,  12379,    18048,     44747,     66002,   262699,    647040,  1053143
1377,   0,   1,   0,    13,  252,    576,     588,   8112,    11907,     27915,     43815,   176917,    420372,   690468
1376,   0,   1,   3,    29,  511,    807,    1034,  11125,    19357,     39728,     55391,   254982,    538072,   921040
1375,   0,   2,   1,     8,  237,    435,     513,   6690,    10307,     24148,     35982,   148067,    353155,   579545
1374,   0,   0,   0,    18,  313,    768,     708,  11693,    14459,     31404,     67675,   223031,    472859,   822928
1373,   0,   0,   0,    10,  233,    505,     509,   6753,     9290,     20698,     33119,   121664,    265926,   458707
1372,   0,   0,   9,    14,  322,    510,     772,   6728,    11350,     29156,     33701,   151384,    383507,   617453
1371,   0,   0,   3,     5,  143,    274,     356,   4271,     7085,     16514,     22104,   100676,    243294,   394725
1370,   0,   0,   3,    10,  176,    381,     377,   5470,     8105,     18343,     29099,   120511,    276334,   458809
1369,   0,   1,   4,    11,  252,    369,     476,   4992,     8560,     16743,     24023,   106650,    215247,   377328
1368,   0,   2,   3,    16,  250,    605,     501,   7724,    10079,     20441,     38022,   133351,    272500,   483494
1367,   1,   0,   2,     4,  198,    334,     492,   5092,     7885,     18732,     26387,   109230,    264763,   433120
1366,   0,   0,   6,    14,  362,    503,     847,   6879,    12532,     31386,     34137,   162125,    392586,   641377
1365,   0,   0,   1,     9,  151,    292,     307,   4777,     7266,     15080,     26287,   108109,    219356,   381635
1364,   0,   0,   2,    12,  191,    408,     396,   6727,     7995,     17846,     39234,   124034,    269814,   466659
1363,   0,   0,   0,     4,  107,    269,     263,   3359,     5117,     12836,     19181,    75728,    193024,   309888
1362,   0,   0,   1,     9,  145,    399,     342,   6745,     7458,     15616,     39221,   113740,    245141,   428817
1361,   0,   0,   2,     2,  115,    256,     250,   3530,     5119,     11183,     19614,    76687,    171522,   288280
1360,   0,   0,   3,    17,  181,    503,     390,   7558,     8742,     18276,     40005,   130684,    271366,   477725
1359,   0,   0,   2,     5,  120,    223,     359,   3290,     5250,     14130,     17310,    73857,    205494,   320040
1358,   0,   3,   3,    23,  383,    724,    1018,  10944,    15942,     37678,     57661,   220872,    505410,   850661
1357,   0,   3,   2,     4,  177,    364,     439,   5019,     7168,     17164,     27160,   105115,    247939,   410554
1356,   0,   1,   2,    16,  356,    726,     800,  10149,    14784,     33030,     50619,   202683,    447607,   760773
1355,   0,   2,   3,     8,  202,    365,     399,   4986,     7729,     16419,     25719,   103232,    225279,   384343
1354,   0,   1,   2,     4,  142,    294,     334,   4523,     6777,     15660,     25055,   102806,    241777,   397375
1353,   0,   0,   2,     9,   95,    233,     272,   3347,     5121,     12383,     18345,    79881,    191613,   311301
1352,   0,   1,   3,     9,  153,    436,     342,   7003,     7413,     15606,     39922,   113566,    237282,   421736
1351,   0,   2,   0,    14,  265,    558,     583,   7833,    11948,     26354,     41568,   171368,    389211,   649704
1350,   0,   1,   4,    28,  480,   1029,    1011,  14161,    20852,     40582,     67853,   276142,    543875,   966018
1349,   0,   0,   8,    12,  270,    517,     532,   7353,    11283,     26267,     38397,   162914,    385542,   633095
1348,   0,   3,   2,    11,  281,    636,     589,  10135,    12323,     25464,     53679,   182885,    383986,   669994
1347,   0,   2,   0,     5,  194,    393,     465,   5043,     8302,     20295,     26832,   118624,    290764,   470919
1346,   0,   2,   0,     6,  169,    460,     479,   6407,     9602,     23710,     33471,   145359,    355147,   574812
1345,   0,   1,   0,     7,  151,    421,     320,   6019,     6902,     14819,     33719,   107106,    226093,   395558
