Day,DD,MMM,YYYY,   Sales  ,   %Chg
Fri,21,Jan,2022,  87431750, +125.2
Tue,18,Jan,2022,  38828235,  -20.4
Fri,14,Jan,2022,  48782829,  +35.7
Tue,11,Jan,2022,  35945578,  -20.0
Fri, 7,Jan,2022,  44939487,  +41.5
Tue, 4,Jan,2022,  31748782,  -46.3
Fri,31,Dec,2021,  59153040,  +47.9
Tue,28,Dec,2021,  39991136,  -29.5
Fri,24,Dec,2021,  56724685,  +47.8
Tue,21,Dec,2021,  38383469,  -19.9
Fri,17,Dec,2021,  47934841,  +36.6
Tue,14,Dec,2021,  35093427,  -23.7
Fri,10,Dec,2021,  45999099,  -15.8
Tue, 7,Dec,2021,  54610587,  -29.6
Fri, 3,Dec,2021,  77588970, +126.7
Tue,30,Nov,2021,  34231891,  -50.8
Fri,26,Nov,2021,  69569805,  +35.8
Tue,23,Nov,2021,  51220997,  -19.4
Fri,19,Nov,2021,  63574548,  +36.4
Tue,16,Nov,2021,  46618334,  -19.4
Fri,12,Nov,2021,  57826254,  +35.5
Tue, 9,Nov,2021,  42668561,  -19.6
Fri, 5,Nov,2021,  53049516,  +41.9
Tue, 2,Nov,2021,  37388851,  -25.8
Fri,29,Oct,2021,  50412874,  +43.0
Tue,26,Oct,2021,  35261874,  -24.4
Fri,22,Oct,2021,  46626206,  +32.9
Tue,19,Oct,2021,  35072474,  -71.2
Fri,15,Oct,2021, 121978668,  +19.2
Tue,12,Oct,2021, 102320683,   +4.5
Fri, 8,Oct,2021,  97899225,  +45.1
Tue, 5,Oct,2021,  67448037,  -15.7
Fri, 1,Oct,2021,  79999597,  +34.1
Tue,28,Sep,2021,  59676890,  -29.9
Fri,24,Sep,2021,  85172376, +135.5
Tue,21,Sep,2021,  36164825,  -20.7
Fri,17,Sep,2021,  45587720,  +40.9
Tue,14,Sep,2021,  32354004,  -22.3
Fri,10,Sep,2021,  41660009,  +26.5
Tue, 7,Sep,2021,  32921164,  -24.0
Fri, 3,Sep,2021,  43337321,  +19.4
Tue,31,Aug,2021,  36294862,  -22.5
Fri,27,Aug,2021,  46831239,  +39.2
Tue,24,Aug,2021,  33653798,  -22.2
Fri,20,Aug,2021,  43282590,  +38.5
Tue,17,Aug,2021,  31261413,  -56.8
Fri,13,Aug,2021,  72351374,  +72.0
Tue,10,Aug,2021,  42058816,  -18.3
Fri, 6,Aug,2021,  51494465,  +35.8
Tue, 3,Aug,2021,  37913613,  -20.4
Fri,30,Jul,2021,  47636056,  +39.5
Tue,27,Jul,2021,  34148988,  -21.0
Fri,23,Jul,2021,  43232667,  +35.6
Tue,20,Jul,2021,  31881790,  -21.7
Fri,16,Jul,2021,  40724358,  +25.8
Tue,13,Jul,2021,  32378705,  -22.7
Fri, 9,Jul,2021,  41879095,  +31.9
Tue, 6,Jul,2021,  31742073,  -43.0
Fri, 2,Jul,2021,  55670919,  +51.9
Tue,29,Jun,2021,  36649950,  -22.6
Fri,25,Jun,2021,  47374622,  +39.3
Tue,22,Jun,2021,  34002671,  -23.9
Fri,18,Jun,2021,  44702883,  +40.1
Tue,15,Jun,2021,  31906262,  -30.6
Fri,11,Jun,2021,  45961390,  +37.4
Tue, 8,Jun,2021,  33439540,  -59.9
Fri, 4,Jun,2021,  83347781,  +99.8
Tue, 1,Jun,2021,  41721567,  -20.3
Fri,28,May,2021,  52352675,  +38.5
Tue,25,May,2021,  37802735,  -23.3
Fri,21,May,2021,  49292301,  +37.6
Tue,18,May,2021,  35811902,  -21.6
Fri,14,May,2021,  45655710,  +36.5
